Matrix_Dimension ,Predictor,Frequency ,Execution_Time
100,0.000625,1600,0.071891
150,0.000625,1600,0.149425
200,0.000625,1600,0.276432
250,0.000625,1600,0.564092
300,0.000625,1600,0.857947
350,0.000625,1600,1.462244
400,0.000625,1600,1.931147
450,0.000625,1600,2.877974
500,0.000625,1600,3.718442
550,0.000625,1600,4.9332
600,0.000625,1600,6.927879
650,0.000625,1600,8.850082
700,0.000625,1600,11.257425
750,0.000625,1600,15.317515
800,0.000625,1600,18.99522
850,0.000625,1600,23.837515
100,0.000666667,1500,0.10305
150,0.000666667,1500,0.155067
200,0.000666667,1500,0.310036
250,0.000666667,1500,0.548901
300,0.000666667,1500,0.918288
350,0.000666667,1500,1.561515
400,0.000666667,1500,2.08053
450,0.000666667,1500,3.017228
500,0.000666667,1500,3.968741
550,0.000666667,1500,5.245987
600,0.000666667,1500,7.714663
650,0.000666667,1500,9.485184
700,0.000666667,1500,12.190447
750,0.000666667,1500,16.123483
800,0.000666667,1500,20.628894
850,0.000666667,1500,25.812985
100,0.000714286,1400,0.082254
150,0.000714286,1400,0.16676
200,0.000714286,1400,0.316264
250,0.000714286,1400,0.585697
300,0.000714286,1400,0.983459
350,0.000714286,1400,1.629061
400,0.000714286,1400,2.208634
450,0.000714286,1400,3.074265
500,0.000714286,1400,4.275887
550,0.000714286,1400,5.567846
600,0.000714286,1400,7.874745
650,0.000714286,1400,10.097231
700,0.000714286,1400,12.85036
750,0.000714286,1400,17.436837
800,0.000714286,1400,21.300719
850,0.000714286,1400,26.894072
100,0.000769231,1300,0.085879
150,0.000769231,1300,0.182483
200,0.000769231,1300,0.349569
250,0.000769231,1300,0.60983
300,0.000769231,1300,1.134243
350,0.000769231,1300,1.78801
400,0.000769231,1300,2.402583
450,0.000769231,1300,3.413167
500,0.000769231,1300,4.657368
550,0.000769231,1300,6.099152
600,0.000769231,1300,8.80764
650,0.000769231,1300,10.880636
700,0.000769231,1300,14.080202
750,0.000769231,1300,18.675858
800,0.000769231,1300,22.858684
850,0.000769231,1300,28.691824
100,0.000833333,1200,0.087159
150,0.000833333,1200,0.188295
200,0.000833333,1200,0.381365
250,0.000833333,1200,0.717244
300,0.000833333,1200,1.144183
350,0.000833333,1200,1.950963
400,0.000833333,1200,2.616223
450,0.000833333,1200,3.739578
500,0.000833333,1200,5.065725
550,0.000833333,1200,6.534737
600,0.000833333,1200,9.122921
650,0.000833333,1200,11.737909
700,0.000833333,1200,15.76915
750,0.000833333,1200,20.255637
800,0.000833333,1200,24.845218
850,0.000833333,1200,30.780612
100,0.000909091,1100,0.096543
150,0.000909091,1100,0.214886
200,0.000909091,1100,0.450655
250,0.000909091,1100,0.735745
300,0.000909091,1100,1.25767
350,0.000909091,1100,2.14949
400,0.000909091,1100,2.803042
450,0.000909091,1100,3.97407
500,0.000909091,1100,5.414332
550,0.000909091,1100,7.152536
600,0.000909091,1100,10.161005
650,0.000909091,1100,12.931519
700,0.000909091,1100,16.407777
750,0.000909091,1100,21.949879
800,0.000909091,1100,26.782517
850,0.000909091,1100,33.471444
100,0.001,1000,0.100314
150,0.001,1000,0.268511
200,0.001,1000,0.445247
250,0.001,1000,0.790018
300,0.001,1000,1.38929
350,0.001,1000,2.36637
400,0.001,1000,3.171022
450,0.001,1000,4.533552
500,0.001,1000,5.942914
550,0.001,1000,8.211493
600,0.001,1000,11.375974
650,0.001,1000,14.360725
700,0.001,1000,18.052319
750,0.001,1000,23.979364
800,0.001,1000,29.463404
850,0.001,1000,36.698683
100,0.001111111,900,0.111099
150,0.001111111,900,0.252071
200,0.001111111,900,0.494431
250,0.001111111,900,0.847051
300,0.001111111,900,1.514852
350,0.001111111,900,2.553159
400,0.001111111,900,3.443982
450,0.001111111,900,4.949336
500,0.001111111,900,6.575922
550,0.001111111,900,8.834509
600,0.001111111,900,12.511557
650,0.001111111,900,15.744861
700,0.001111111,900,20.105977
750,0.001111111,900,26.799725
800,0.001111111,900,32.649003
850,0.001111111,900,40.522498
100,0.00125,800,0.121959
150,0.00125,800,0.273181
200,0.00125,800,0.546308
250,0.00125,800,1.030382
300,0.00125,800,1.677447
350,0.00125,800,2.885102
400,0.00125,800,3.862918
450,0.00125,800,5.68431
500,0.00125,800,7.788153
550,0.00125,800,9.8318
600,0.00125,800,14.324287
650,0.00125,800,17.850834
700,0.00125,800,22.59501
750,0.00125,800,29.833077
800,0.00125,800,36.548913
850,0.00125,800,45.318765
