Frequency ,Voltage,Power,Flag
250,0.95,0.0408,0
300,0.9497,0.0476,0
350,0.949,0.0541,0
400,0.9613,0.0621,0
450,1.0113,0.0774,0
500,1.0747,0.0975,0
550,1.1363,0.1215,0
600,1.1988,0.1488,0
800,0.9175,0.5277,1
900,0.9289,0.6009,1
1000,0.9527,0.7063,1
1100,0.99,0.8377,1
1200,1.0134,0.9649,1
1300,1.0512,1.131,1
1400,1.0901,1.3243,1
1500,1.1297,1.5442,1
1600,1.1559,1.7379,1
250,0.9499,0.0408,0
300,0.9498,0.0473,0
350,0.9489,0.0542,0
400,0.9612,0.0623,0
450,1.0112,0.0776,0
500,1.0747,0.0985,0
550,1.1361,0.1225,0
600,1.1988,0.1515,0
800,0.9175,0.5237,1
900,0.9288,0.5899,1
1000,0.9528,0.6899,1
1100,0.99,0.7966,1
1200,1.0137,0.9331,1
1300,1.0516,1.101,1
1400,1.0902,1.2921,1
1500,1.1293,1.5476,1
1600,1.1558,1.7289,1
250,0.9499,0.0409,0
300,0.9497,0.0474,0
350,0.949,0.0538,0
400,0.9613,0.0623,0
450,1.0113,0.077,0
500,1.0742,0.0975,0
550,1.1363,0.1212,0
600,1.1988,0.1496,0
800,0.9175,0.5182,1
900,0.9289,0.6041,1
1000,0.9529,0.6807,1
1100,0.99,0.8428,1
1200,1.0139,0.964,1
1300,1.0517,1.1369,1
1400,1.0906,1.3305,1
1500,1.1295,1.5332,1
1600,1.1558,1.7478,1
250,0.9499,0.0421,0
300,0.9495,0.0491,0
350,0.9488,0.0549,0
400,0.9613,0.0636,0
450,1.0112,0.0794,0
500,1.0744,0.1001,0
550,1.1361,0.125,0
600,1.1987,0.1532,0
800,0.9175,0.51,1
900,0.9289,0.5807,1
1000,0.9527,0.6931,1
1100,0.99,0.8241,1
1200,1.0137,0.9451,1
1300,1.0512,1.1279,1
1400,1.0899,1.3097,1
1500,1.1291,1.4765,1
1600,1.1558,1.7166,1
250,0.95,0.0404,0
300,0.9494,0.0472,0
350,0.9489,0.0539,0
400,0.9613,0.0621,0
450,1.0113,0.0773,0
500,1.0742,0.0974,0
550,1.1362,0.1201,0
600,1.1988,0.1489,0
800,0.9175,0.5251,1
900,0.9287,0.605,1
1000,0.9528,0.6812,1
1100,0.9896,0.8349,1
1200,1.0139,0.9546,1
1300,1.0517,1.1276,1
1400,1.0902,1.3168,1
1500,1.1293,1.5368,1
1600,1.1555,1.7389,1
250,0.95,0.0407,0
300,0.9493,0.047,0
350,0.9491,0.0536,0
400,0.9613,0.062,0
450,1.0112,0.0771,0
500,1.0741,0.0974,0
550,1.1362,0.1218,0
600,1.1987,0.1501,0
800,0.9175,0.5251,1
900,0.9288,0.6036,1
1000,0.9527,0.7077,1
1100,0.99,0.8409,1
1200,1.014,0.9635,1
1300,1.0517,1.1312,1
1400,1.0904,1.323,1
1500,1.1294,1.5369,1
1600,1.1557,1.722,1
